date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
8-Mar-2020,47,150,0
7-Jun-2020,3118,607,231
5-Jul-2020,2190,206,141
5-Apr-2020,36175,10890,3244
3-May-2020,13102,2497,1540
31-May-2020,4119,929,308
29-Mar-2020,30159,9109,1273
28-Jun-2020,2163,259,156
26-Jul-2020,261,18,7
26-Apr-2020,18288,3841,2159
24-May-2020,6052,1153,410
22-Mar-2020,20513,3796,202
21-Jun-2020,2249,276,140
19-Jul-2020,1595,223,77
19-Apr-2020,22953,6325,3124
17-May-2020,6689,1398,593
15-Mar-2020,2941,799,8
14-Jun-2020,2384,323,187
12-Jul-2020,2344,238,96
12-Apr-2020,34245,9728,3957
10-May-2020,7902,1688,935
